t,dy_left,dy_down,dy_up,dy_right,action
1.827,9999.0,9999.0,9999.0,490,0
1.86,9999.0,9999.0,9999.0,485,0
1.88,9999.0,9999.0,9999.0,480,0
1.912,9999.0,9999.0,9999.0,475,0
1.943,9999.0,9999.0,9999.0,470,0
1.964,9999.0,9999.0,9999.0,465,0
1.994,9999.0,9999.0,9999.0,460,0
2.014,9999.0,9999.0,9999.0,455,0
2.047,9999.0,9999.0,9999.0,450,0
2.081,9999.0,9999.0,9999.0,445,0
2.098,9999.0,9999.0,9999.0,440,0
2.13,9999.0,9999.0,9999.0,435,0
2.16,9999.0,9999.0,9999.0,430,0
2.182,9999.0,9999.0,9999.0,425,0
2.212,9999.0,9999.0,9999.0,420,0
2.233,9999.0,9999.0,9999.0,415,0
2.262,9999.0,9999.0,9999.0,410,0
2.293,9999.0,9999.0,9999.0,405,0
2.314,9999.0,9999.0,9999.0,400,0
2.342,9999.0,9999.0,9999.0,395,0
2.373,9999.0,9999.0,9999.0,390,0
2.394,9999.0,9999.0,9999.0,385,0
2.424,9999.0,9999.0,9999.0,380,0
2.455,9999.0,9999.0,9999.0,375,0
2.477,9999.0,9999.0,9999.0,370,0
2.508,9999.0,9999.0,9999.0,365,0
2.526,9999.0,9999.0,9999.0,360,0
2.559,9999.0,9999.0,9999.0,355,0
2.59,9999.0,9999.0,9999.0,350,0
2.609,9999.0,9999.0,9999.0,345,0
2.641,9999.0,9999.0,9999.0,340,0
2.662,9999.0,9999.0,9999.0,335,0
2.694,9999.0,9999.0,9999.0,330,0
2.723,9999.0,9999.0,9999.0,325,0
2.744,9999.0,9999.0,9999.0,320,0
2.775,9999.0,9999.0,9999.0,315,0
2.806,9999.0,9999.0,9999.0,310,0
2.825,9999.0,9999.0,9999.0,305,0
2.857,9999.0,9999.0,9999.0,300,0
2.883,665,9999.0,9999.0,295,0
2.907,660,9999.0,9999.0,290,0
2.939,655,9999.0,9999.0,285,0
2.957,650,9999.0,9999.0,280,0
2.99,645,9999.0,9999.0,275,0
3.095,640,9999.0,9999.0,270,0
3.142,635,9999.0,9999.0,265,0
3.178,630,9999.0,9999.0,260,0
3.22,625,9999.0,9999.0,255,0
3.315,620,9999.0,9999.0,250,0
3.344,615,9999.0,9999.0,245,0
3.377,610,9999.0,9999.0,240,0
3.399,605,9999.0,9999.0,235,0
3.429,600,9999.0,9999.0,230,0
3.46,595,9999.0,9999.0,225,0
3.482,590,9999.0,9999.0,220,0
3.515,585,9999.0,9999.0,215,0
3.537,580,9999.0,9999.0,210,0
3.569,575,9999.0,9999.0,205,0
3.598,570,9999.0,9999.0,200,0
3.618,565,9999.0,9999.0,195,0
3.65,560,9999.0,9999.0,190,0
3.669,555,9999.0,9999.0,185,0
3.699,550,9999.0,9999.0,180,0
3.73,545,9999.0,9999.0,175,0
3.751,540,9999.0,9999.0,170,0
3.782,535,9999.0,9999.0,165,0
3.814,530,9999.0,9999.0,160,0
3.834,525,9999.0,9999.0,155,0
3.863,520,9999.0,9999.0,150,0
3.894,515,9999.0,9999.0,145,0
3.916,510,9999.0,9999.0,140,0
3.947,505,9999.0,9999.0,135,0
3.966,500,9999.0,9999.0,130,0
3.999,495,9999.0,9999.0,125,0
4.029,490,9999.0,9999.0,120,0
4.048,485,9999.0,9999.0,115,0
4.081,480,9999.0,9999.0,110,0
4.101,475,9999.0,9999.0,105,0
4.131,470,9999.0,9999.0,100,0
4.163,465,9999.0,9999.0,95,0
4.183,460,9999.0,9999.0,90,0
4.215,455,9999.0,9999.0,85,0
4.245,450,9999.0,9999.0,80,0
4.264,445,9999.0,9999.0,75,0
4.294,440,9999.0,9999.0,70,0
4.323,435,9999.0,9999.0,65,0
4.346,430,9999.0,9999.0,60,0
4.375,425,9999.0,9999.0,55,0
4.394,420,665,9999.0,50,0
4.427,415,660,9999.0,45,0
4.459,410,655,9999.0,40,0
4.477,405,650,9999.0,35,0
4.509,400,645,9999.0,30,0
4.539,395,640,9999.0,25,0
4.56,390,635,9999.0,20,0
4.591,385,630,9999.0,15,0
4.612,380,625,9999.0,10,0
4.641,375,620,9999.0,5,0
4.676,370,615,9999.0,95,2
4.699,365,610,9999.0,90,0
4.732,360,605,9999.0,85,0
4.753,355,600,9999.0,80,0
4.785,350,595,9999.0,75,0
4.813,345,590,9999.0,70,0
4.835,340,585,9999.0,65,0
4.867,335,580,9999.0,60,0
4.894,330,575,9999.0,55,0
4.916,325,570,9999.0,50,0
4.946,320,565,9999.0,45,0
4.976,315,560,9999.0,40,0
4.998,310,555,9999.0,35,0
5.03,305,550,9999.0,30,0
5.047,300,545,9999.0,25,0
5.079,295,540,9999.0,20,0
5.109,290,535,9999.0,15,0
5.13,285,530,9999.0,10,0
5.161,280,525,9999.0,80,2
5.192,275,520,9999.0,75,0
5.213,270,515,9999.0,70,0
5.244,265,510,9999.0,65,0
5.264,260,505,9999.0,60,0
5.296,255,500,9999.0,55,0
5.326,250,495,9999.0,50,0
5.347,245,490,9999.0,45,0
5.379,240,485,9999.0,40,0
5.408,235,480,9999.0,35,0
5.43,230,475,9999.0,30,0
5.462,225,470,9999.0,25,0
5.482,220,465,9999.0,20,0
5.511,215,460,9999.0,15,0
5.543,210,455,9999.0,10,0
5.565,205,450,9999.0,5,0
5.597,200,445,9999.0,0,0
5.625,195,440,9999.0,530,2
5.646,190,435,9999.0,525,0
5.679,185,430,9999.0,520,0
5.696,180,425,9999.0,515,0
5.729,175,420,9999.0,510,0
5.759,170,415,9999.0,505,0
5.779,165,410,9999.0,500,0
5.811,160,405,9999.0,495,0
5.842,155,400,9999.0,490,0
5.864,150,395,9999.0,485,0
5.893,145,390,9999.0,480,0
5.914,140,385,9999.0,475,0
5.945,135,380,9999.0,470,0
5.977,130,375,9999.0,465,0
5.998,125,370,9999.0,460,0
6.03,120,365,9999.0,455,0
6.049,115,360,9999.0,450,0
6.081,110,355,9999.0,445,0
6.111,105,350,9999.0,440,0
6.131,100,345,9999.0,435,0
6.162,95,340,9999.0,430,0
6.195,90,335,9999.0,425,0
6.214,85,330,9999.0,420,0
6.249,80,325,9999.0,415,0
6.284,75,320,9999.0,410,0
6.321,70,315,9999.0,405,0
6.351,65,310,9999.0,400,0
6.386,60,305,9999.0,395,0
6.409,55,300,9999.0,390,0
6.441,50,295,9999.0,385,0
6.475,45,290,9999.0,380,0
6.498,40,285,9999.0,375,0
6.533,35,280,9999.0,370,0
6.566,30,275,9999.0,365,0
6.589,25,270,9999.0,360,0
6.623,20,265,9999.0,355,0
6.649,15,260,9999.0,350,0
6.689,55,255,9999.0,345,1
6.706,50,250,9999.0,340,0
6.739,45,245,9999.0,335,0
6.771,40,240,9999.0,330,0
6.794,35,235,9999.0,325,0
6.827,30,230,9999.0,320,0
6.845,25,225,665,315,0
6.878,20,220,660,310,0
6.908,15,215,655,305,0
6.927,10,210,650,300,0
6.96,5,205,645,295,0
6.99,0,200,640,290,0
7.008,-5,195,635,285,0
7.04,-10,190,630,280,0
